food_name,category,typical_serving,calories,protein_g,carbs_g,fat_g,fiber_g
akki roti,bread,1 piece (60g),140,3.0,26,3.0,1.5
amritsari kulcha,bread,1 piece (120g),340,8.0,52,10,2.5
bajra roti,bread,1 piece (50g),110,3.0,20,2.5,3.5
bhatura,bread,1 piece (80g),270,5.5,35,12,1.5
brown bread,bread,2 slices (60g),150,5.0,28,1.5,3.5
garlic naan,bread,1 piece (100g),290,8.5,46,8.0,2.0
jowar roti,bread,1 piece (50g),100,2.5,19,2.0,3.0
kulcha,bread,1 piece (100g),270,7.0,46,6.5,1.5
luchi,bread,1 piece (25g),90,1.5,10,5.0,0.5
makke ki roti saag,bread,combo plate,310,9.0,38,13,8.0
makki ki roti,bread,1 piece (50g),105,2.5,18,3.0,2.0
missi roti,bread,1 piece (60g),140,5.0,22,4.0,3.0
multigrain bread,bread,2 slices (60g),160,6.0,30,2.0,4.0
naan butter,bread,1 piece (100g),310,8.0,45,10,1.8
naan plain,bread,1 piece (100g),260,8.0,45,5.0,1.8
paratha aloo,bread,1 piece (80g),210,4.5,28,9.0,2.5
paratha butter,bread,1 piece (60g),220,4.0,22,12,2.0
paratha plain,bread,1 piece (60g),170,4.0,22,7.0,2.0
phulka,bread,1 piece (30g),60,2.0,12,0.8,1.2
puri,bread,1 piece (25g),85,1.5,10,4.5,0.5
ragi roti,bread,1 piece (50g),105,3.0,20,2.0,3.5
roti,bread,1 piece (40g),75,2.5,15,1.5,1.5
rumali roti,bread,1 piece (40g),95,3.0,18,1.5,1.0
thalipeeth,bread,1 piece (80g),180,5.5,28,5.5,4.0
thepla,bread,1 piece (40g),110,3.0,18,3.5,2.0
white bread,bread,2 slices (60g),160,4.5,30,2.0,1.5
aloo paratha curd,breakfast,1+bowl,320,8.0,36,15,3.0
appam,breakfast,1 piece (60g),120,2.0,22,3.0,0.5
besan chilla,breakfast,1 piece (80g),145,7.0,14,6.5,3.0
chila moong dal,breakfast,1 piece (80g),140,8.0,16,4.5,3.5
cornflakes milk,breakfast,1 bowl,230,8.0,40,4.5,1.5
daliya,breakfast,1 bowl (200g),220,7.0,42,3.0,5.5
dosa masala,breakfast,1 piece (200g),280,6.0,44,9.0,3.5
dosa onion,breakfast,1 piece (150g),220,5.0,34,7.0,2.5
dosa plain,breakfast,1 piece (100g),165,4.0,28,4.5,1.5
egg dosa,breakfast,1 piece (180g),280,10,34,11,2.0
french toast,breakfast,2 pieces (150g),300,10,32,15,1.5
ghee roast dosa,breakfast,1 piece (120g),280,4.0,30,16,1.5
idiyappam,breakfast,1 plate (150g),220,4.0,46,1.5,1.5
